iter	Passed	Remaining
918	2577	1068
919	2580	1065
920	2582	1062
921	2585	1060
922	2588	1057
923	2590	1054
924	2593	1051
925	2595	1048
926	2598	1045
927	2600	1042
928	2603	1039
929	2605	1036
930	2608	1033
931	2611	1031
932	2613	1028
933	2616	1025
934	2618	1022
935	2621	1019
936	2624	1016
937	2626	1013
938	2629	1010
939	2631	1007
940	2634	1005
941	2637	1002
942	2639	999
943	2642	996
944	2644	993
945	2647	990
946	2649	987
947	2652	984
948	2655	981
949	2657	979
950	2660	976
951	2662	973
952	2665	970
953	2668	967
954	2670	964
955	2673	961
956	2675	958
957	2678	956
958	2680	953
959	2683	950
960	2685	947
961	2688	944
962	2690	941
963	2693	938
964	2695	935
965	2698	933
966	2701	930
967	2703	927
968	2706	924
969	2708	921
970	2711	918
971	2713	915
972	2716	912
973	2719	910
974	2721	907
975	2724	904
976	2726	901
977	2729	898
978	2731	895
979	2734	892
980	2736	890
981	2739	887
982	2741	884
983	2744	881
984	2746	878
985	2749	875
986	2752	872
987	2754	869
988	2757	867
989	2759	864
990	2762	861
991	2764	858
992	2767	855
993	2769	852
994	2772	849
995	2775	847
996	2777	844
997	2780	841
998	2782	838
999	2785	835
1000	2787	832
1001	2790	829
1002	2793	827
1003	2795	824
1004	2798	821
1005	2800	818
1006	2803	815
1007	2806	812
1008	2808	810
1009	2811	807
1010	2813	804
1011	2816	801
1012	2818	798
1013	2821	795
1014	2824	792
1015	2826	790
1016	2829	787
1017	2832	784
1018	2834	781
1019	2837	778
1020	2840	776
1021	2842	773
1022	2845	770
1023	2848	767
1024	2850	764
1025	2853	762
1026	2855	759
1027	2858	756
1028	2861	753
1029	2863	750
1030	2866	747
1031	2868	745
1032	2871	742
1033	2874	739
1034	2877	736
1035	2879	733
1036	2882	730
1037	2884	728
1038	2887	725
1039	2890	722
1040	2892	719
1041	2895	716
1042	2897	714
1043	2900	711
1044	2902	708
1045	2905	705
1046	2908	702
1047	2910	699
1048	2913	697
1049	2915	694
1050	2918	691
1051	2921	688
1052	2923	685
1053	2926	682
1054	2928	680
1055	2931	677
1056	2933	674
1057	2936	671
1058	2939	668
1059	2941	666
1060	2944	663
1061	2946	660
1062	2949	657
1063	2951	654
1064	2954	651
1065	2956	649
1066	2959	646
1067	2962	643
1068	2964	640
1069	2967	637
1070	2969	634
1071	2972	632
1072	2974	629
1073	2977	626
1074	2979	623
1075	2982	620
1076	2985	618
1077	2987	615
1078	2990	612
1079	2992	609
1080	2995	606
1081	2998	604
1082	3000	601
1083	3003	598
1084	3005	595
1085	3008	592
1086	3010	589
1087	3013	587
1088	3015	584
1089	3018	581
1090	3021	578
1091	3023	575
1092	3025	573
1093	3028	570
1094	3031	567
1095	3033	564
1096	3036	561
1097	3038	559
1098	3041	556
1099	3043	553
1100	3046	550
1101	3049	547
1102	3051	545
1103	3054	542
1104	3056	539
1105	3059	536
1106	3061	533
1107	3064	531
1108	3067	528
1109	3069	525
1110	3072	522
